Company,Time,Debt1,Debt2,Equity1,Equity2,FL,OL,SL,LL,Q,CF,CA,Cycle,Cycle*Q,Cycle*CF,Cycle*CA,ROA,SCALE
600388.SH,20110630,0.0003235218,0.0145595772,0.0152393877,0.0110244702,-0.000339905,0.0148994653,0.0152229871,-0.000663427,,0.024032812,0.4683919917,1,,0.024032812,0.4683919917,0.0194259769,8.6969184641
600388.SH,20110930,0.0099344926,0.0113529539,0.0013328894,0.0111616078,0.0099168302,0.0014361237,0.0113706164,-0.000017662,,-0.069167028,0.4963824951,1,,-0.069167028,0.4963824951,0.0289099444,8.7191833142
600388.SH,20111231,0.0002692191,-0.032743196,0.0023753184,0.0095527512,0.0040142146,-0.036757411,-0.011975102,-0.020768094,,0.0114848892,0.4586257445,1,,0.0114848892,0.4586257445,0.0414317632,8.6957197229
600388.SH,20120331,0.0217440629,0.0393932651,0.0031733367,0.0093330019,0.0216954287,0.0176978365,0.0394418993,-0.000048634,,0.0441917075,0.509000827,0,,0,0,0.0061703389,8.7432961035
600388.SH,20120630,0.0708520447,0.1118438196,0.0035568664,-0.00032376,0.0720784579,0.0397653616,0.0308858702,0.0809579494,,0.0121438806,0.4917047929,1,,0.0121438806,0.4917047929,0.0191847413,8.8490245903
600388.SH,20120930,-0.022599208,0.0155972021,-0.003471918,0.0052656231,-0.023966022,0.039563224,0.0169662983,-0.001369096,,-0.007632424,0.4830622482,1,,-0.007632424,0.4830622482,0.0260032544,8.8696727671
600388.SH,20121231,-0.00277557,0.0217205147,0.0094288406,0.0250025833,0.0093356304,0.0123848703,0.010526725,0.0111937756,,0.0393284618,0.4966840636,1,,0.0393284618,0.4966840636,0.0417335247,8.9153371922
600388.SH,20130331,0.0102520221,0.0316780314,0.0028493173,0.0080091685,0.0106379707,0.0210400607,0.0312526888,0.0004253426,,-0.035375334,0.4948143204,0,,0,0,0.005301753,8.9542570908
600388.SH,20130630,0.0246439924,0.0548637701,-0.01216541,-0.010950803,0.0215417836,0.0333219994,0.0514583876,0.0034053955,,0.0131668728,0.4686749841,0,,0,0,0.0172844967,8.9972332122
600388.SH,20130930,0.0028952211,0.0469766129,-0.006136019,0.0189145974,0.002310618,0.044665995,0.0419483081,0.0050283049,,0.0110452746,0.4845692983,1,,0.0110452746,0.4845692983,0.0422338157,9.0610444786
600388.SH,20131231,-0.006374631,-0.024742283,0.0016295215,0.0156715745,-0.006210765,-0.018531518,-0.024947504,0.0002052213,,0.0091534191,0.4540413718,1,,0.0091534191,0.4540413718,0.0537921457,9.0519323693
600388.SH,20140331,0.0048860724,0.0559699908,-0.000649196,0.0041534081,0.0055088832,0.0504611076,0.0553063482,0.0006636427,,-0.031552236,0.4991905697,0,,0,0,0.0049341684,9.1103176958
600388.SH,20140630,0.027718282,0.1025511018,-0.001486632,0.0097733917,0.0275310508,0.075020051,0.0722329236,0.0303181782,,0.0007577334,0.5336178624,0,,0,0,0.015954565,9.2167696597
600388.SH,20140930,0.000913329,0.076091321,0.0047269015,0.0059505589,0.0005851955,0.0755061156,0.0763629291,-0.000271618,,0.0092957822,0.5292708133,1,,0.0092957822,0.5292708133,0.0295090566,9.2956195362
600388.SH,20141231,-0.007910214,0.0323477313,0.0029213852,0.0182665066,-0.008131909,0.0404796495,0.0260378716,0.0063098689,,0.0449375891,0.5298812776,1,,0.0449375891,0.5298812776,0.0428814213,9.3449945266
600388.SH,20150331,-0.010847981,0.0283087744,0.0000136959,0.0053081743,-0.009427256,0.0377360301,0.0285720199,-0.000263246,,-0.057952847,0.5530690526,0,,0,0,0.0052375974,9.3780587782
600388.SH,20150630,-0.004404536,0.0541941042,0.0178727098,-0.002701675,-0.004650206,0.0588443101,0.0573718724,-0.003177768,,0.0342450773,0.5747770586,0,,0,0,0.01441478,9.4282692947
600388.SH,20150930,0.0010655741,0.0204696397,-0.000207149,0.0172765764,0.000661408,0.0198082317,0.020524678,-0.000055038,,-0.011335589,0.5616345246,0,,0,0,0.0310979421,9.4653205565
600388.SH,20151231,0.0002112774,0.0336471381,0.0004657573,0.0136823285,0.003937204,0.0297099263,0.0371752711,-0.003528141,,0.0687078372,0.5229562286,1,,0.0687078372,0.5229562286,0.0434766915,9.5115641157
600388.SH,20160331,-0.000514624,0.0062139307,-0.000288063,0.0053721474,-0.000726771,0.0069407094,0.0063818019,-0.000167864,,-0.089287536,0.52991101,0,,0,0,0.0055721382,9.5230835891
600388.SH,20160630,-0.00474507,0.0176142927,0.0005429535,-0.003163102,-0.004818222,0.0224325143,0.0540995101,-0.036485217,,0.0082051073,0.5188779538,0,,0,0,0.0143985049,9.5374313562
600388.SH,20160930,-0.006633677,0.0171074243,-0.006692281,0.0100834387,-0.006868837,0.0239762613,0.0173263687,-0.000218944,,0.0053206668,0.5352690998,0,,0,0,0.0311112045,9.5642591151
600388.SH,20161231,0.0000736678,0.0109613701,-0.000243079,0.0162075257,0.0004029441,0.0105584261,0.0106163144,0.0003450557,,0.0452915658,0.5052513569,1,,0.0452915658,0.5052513569,0.0471305153,9.591065488
600388.SH,20170331,-0.000109229,0.0063700071,0.0000745825,0.005820916,-0.000413846,0.0067838602,0.0066313535,-0.00026134,,-0.066303045,0.5268422429,0,,0,0,0.0057868843,9.6031827003
600388.SH,20170630,-0.0337387,-0.0394809,-0.000037429,-0.00418787,-0.033912034,-0.005568873,-0.039295818,-0.000185088,,0.0156982502,0.5225842679,0,,0,0,0.0153829148,9.558531749
600388.SH,20170930,-0.000026297,0.0106823259,0.0001694807,0.0174656634,-0.000191959,0.0108742845,0.0108307407,-0.000148415,,-0.015678679,0.5741960321,1,,-0.015678679,0.5741960321,0.0335428302,9.5862908641
600388.SH,20171231,0.0000241353,-0.013866923,-0.001517803,0.0158948207,0.0003179195,-0.014184849,-0.014177481,0.0003105519,,0.0497193432,0.5293252728,1,,0.0497193432,0.5293252728,0.0499756783,9.5883167087
600388.SH,20180331,0.0604308457,0.0340626069,0.0000744109,0.0064749784,0.0602985657,-0.026235952,0.0341785164,-0.000115903,,-0.041664426,0.5402355937,0,,0,0,0.0064165132,9.6280541973
600388.SH,20180630,0.0314299033,0.0675326516,0.0015274161,-0.002908054,0.0319549657,0.0355776858,0.0471794651,0.0203531865,,0.0073212723,0.5323592961,1,,0.0073212723,0.5323592961,0.0166042354,9.6906764497
600388.SH,20180930,0.0404338782,0.0946193757,0.0003346741,0.017610491,0.0402146242,0.0544047454,0.079272172,0.0153471976,,-0.030595708,0.5148525537,1,,-0.030595708,0.5148525537,0.0329918463,9.7970433332
600388.SH,20181231,0.0089407505,0.0381397376,-0.004657211,0.0104357809,0.0089293326,0.0292104105,0.0496117742,-0.011472031,,0.0729862248,0.4641011535,1,,0.0729862248,0.4641011535,0.0447931217,9.8444759273
600388.SH,20190331,0.0235006932,0.0224944884,0.0000501381,0.005593501,0.0235106009,-0.001016118,0.0127351261,0.0097593571,,-0.045374791,0.4571468393,0,,0,0,0.0055997968,9.8721766835
600388.SH,20190630,0.0100225476,-0.014354344,0.0038418685,0.0033567545,0.0096979259,-0.024052264,-0.013704491,-0.000649847,,-0.0116435,0.4353862985,1,,-0.0116435,0.4353862985,0.0145820322,9.8611181739
600388.SH,20190930,0.0208102599,0.065638479,0.0014035869,0.0160497273,0.0254171695,0.0402213147,0.0368496953,0.0287887889,,0.0081768252,0.4279987298,1,,0.0081768252,0.4279987298,0.029474135,9.9396411486
600388.SH,20191231,-0.010284828,0.0305163529,-0.000083265,0.0103158655,0.0003545714,0.0301617815,0.0255698633,0.0049464896,,0.020375099,0.4212742429,1,,0.020375099,0.4212742429,0.0415138154,9.9796617518
600764.SH,20030630,0,-0.231039099,0.0262596214,0.0686336252,0,-0.231039099,-0.231039099,0,,-0.070288651,0.4047071213,0,,0,0,0.0254639504,6.516248252
600764.SH,20030930,0.1050681671,0.1086281778,0.0875632158,0.0133217501,0.1050681671,0.0035600107,0.1086281778,0,,0.0061538025,0.4393692478,0,,0,0,0.043725398,6.6313164306
600764.SH,20031231,0.0513790739,0.0213825018,-0.070816238,-0.006019275,0.0513790739,-0.029996572,0.0213825018,0,,0.2647179886,0.2185993039,1,,0.2647179886,0.2185993039,0.1040169813,6.6465628377
600764.SH,20040331,-0.064923876,-0.06471625,-0.000101281,0.0122381506,-0.064923876,0.0002076266,-0.06471625,0,,0.0182154322,0.1989013062,0,,0,0,0.0121732268,6.59265761
600764.SH,20040630,-0.041111794,-0.05435034,0.0004884081,0.0046759185,-0.041111794,-0.013238546,-0.05435034,0,,0.0050981366,0.2059121227,0,,0,0,0.0138500154,6.5417069706
600764.SH,20040930,-0.014420249,-0.0183166,-0.000010815,-0.000405209,-0.014420249,-0.003896351,-0.0183166,0,,0.0108606106,0.1910388823,1,,0.0108606106,0.1910388823,0.0141687599,6.5251252544
600764.SH,20041231,0.0586454198,0.1561438701,0.0009276239,0.0374622543,0.0586454198,0.0974984503,0.1561438701,0,,0.0331151626,0.2972016458,1,,0.0331151626,0.2972016458,0.0525056842,6.7001629285
600764.SH,20050331,0.0406134752,0.1890999094,0.0367239349,0.0432731655,0.0406731647,0.1484267447,0.1238125174,0.065287392,,-0.095485111,0.4388528441,0,,0,0,0.0158990679,6.9091046681
600764.SH,20050630,0.0339541517,-0.015383528,0.0118103525,0.0078741675,0.0339057171,-0.049289245,-0.017432261,0.0020487336,,0.037189483,0.3524554794,0,,0,0,0.0287935201,6.9015669708
600764.SH,20050930,0,0.0241314719,0.0026208687,0.0038074892,0,0.0241314719,0.0241314719,0,,0.0211895224,0.3555379849,0,,0,0,0.032824199,6.9291227597
600764.SH,20051231,0.0603163242,0.3163704215,0.0127724483,0.0349221719,0.0603637989,0.2560066226,0.3183785511,-0.00200813,,0.0174885919,0.2929875311,1,,0.0174885919,0.2929875311,0.0649403571,7.2301843706
600764.SH,20060331,-0.017036865,-0.063714354,-0.001789816,0.001751496,-0.011223657,-0.052490697,-0.069527562,0.005813208,,-0.100894546,0.2503205052,0,,0,0,0.0081019821,7.1662186371
600764.SH,20060630,0.0355862405,0.0695587366,0.0095732717,0.0078944277,0.0355862405,0.0339724961,0.0695973485,-0.000038612,,-0.019937932,0.3316194813,0,,0,0,0.0256463877,7.2408187122
600764.SH,20060930,-0.017111086,0.167868184,0.0077024973,0.0131316155,-0.017111086,0.1849792702,0.1678323478,0.0000358362,,0.0204150438,0.3754108087,0,,0,0,0.0372484708,7.4071800796
600764.SH,20061231,-0.023590625,-0.058903373,0.0070150431,-0.047228769,-0.023013179,-0.035890194,-0.027316199,-0.031587175,,0.2056121558,0.2808137673,1,,0.2056121558,0.2808137673,-0.011287233,7.2949827546
600764.SH,20070331,-0.026095609,0.1901637018,-0.007366802,0.0019704099,-0.026095609,0.2162593103,0.1901637018,0,,-0.147403729,0.4729193562,0,,0,0,0.0131169879,7.4707278267
600764.SH,20070630,0.0757339237,0.040504949,0.0077715831,0.0169002603,0.0842766283,-0.043771679,0.0319622444,0.0085427046,,-0.074767516,0.3966475124,0,,0,0,0.0277012003,7.526545818
600764.SH,20070930,0.0213741606,0.100097642,0.0033090228,0.0048920625,0.0213741606,0.0787234814,0.100097642,0,,-0.030328202,0.4085731255,1,,-0.030328202,0.4085731255,0.0311019485,7.6263818357
600764.SH,20071231,0.001293226,0.1380668435,0.0040759627,0.0113652986,-0.010417069,0.1484839128,0.1497771388,-0.011710295,,0.1090281868,0.3381046186,1,,0.1090281868,0.3381046186,0.0426709514,7.7656498666
600764.SH,20080331,-0.009206296,-0.186387317,-0.00879984,-0.006849828,-0.009206296,-0.177181021,-0.186387317,0,,-0.029702308,0.1874256978,0,,0,0,0.0023201264,7.5509244051
600764.SH,20080630,0.017588641,-0.032563774,0.0034211816,-0.002366937,0.017588641,-0.050152415,-0.032563774,0,,-0.025433474,0.2419963494,1,,-0.025433474,0.2419963494,0.0071735588,7.5153689718
600764.SH,20080930,0.1049757065,0.0632722578,0.0036893435,0.0026340861,0.1049757065,-0.041703449,0.0632722578,0,,-0.114001467,0.2384454889,1,,-0.114001467,0.2384454889,0.0110515822,7.5791944872
600764.SH,20081231,-0.184689277,-0.170918615,0.0128615904,0.0322629155,-0.184689277,0.0137706619,-0.170918615,0,,0.2307435485,0.239492831,1,,0.2307435485,0.239492831,0.0343992921,7.4299334579
600764.SH,20090331,0.0331179643,0.0532324523,0.0011957676,-0.006575031,0.0331179643,0.0201144881,0.0532324523,0,,-0.129777005,0.2288952678,0,,0,0,-0.007525381,7.4755351357
600764.SH,20090630,-0.00690647,-0.06992638,0.0035713525,0.0034136736,-0.00690647,-0.063019909,-0.06992638,0,,0.0187818645,0.220451424,0,,0,0,-0.003752553,7.4067072693
600764.SH,20090930,0.0308611876,0.0692707315,-0.013529373,-0.01901227,0.0308611876,0.038409544,0.0692707315,0,,-0.024564687,0.2646249595,0,,0,0,-0.001729453,7.4557434416
600764.SH,20091231,0.0583213544,-0.077357301,0.0065653256,0.0207018912,0.0583213544,-0.135678655,-0.077357301,0,,-0.022040335,0.2086846253,1,,-0.022040335,0.2086846253,0.0156844019,7.3974199201
600764.SH,20100331,-0.01342065,-0.050723727,-0.00249968,-0.009098102,-0.01342065,-0.037303076,-0.050723727,0,,0.0280273144,0.2169022219,0,,0,0,-0.008802656,7.3357339769
600764.SH,20100630,0.0408431126,0.0018680661,0.000249258,-0.004795088,0.0408431126,-0.038975046,0.0018680661,0,,-0.046828564,0.2529282274,0,,0,0,-0.006974726,7.3328025979
600764.SH,20100930,-0.097725459,0.0032907906,0.0005772514,-0.002239579,-0.097725459,0.1010162501,0.0032907906,0,,0.0726432649,0.3039082208,1,,0.0726432649,0.3039082208,-0.007841401,7.3338533232
600764.SH,20101231,-0.069136167,0.0295835309,-0.017927331,-0.006395603,-0.069136167,0.0987196975,0.0295835309,0,,0.1552628604,0.2765517192,1,,0.1552628604,0.2765517192,0.0044499638,7.3567764965
600764.SH,20110331,0.0390321436,-0.099996368,0.001476342,-0.000627721,0.0390321436,-0.139028512,-0.099996368,0,,-0.230556482,0.2516047744,0,,0,0,-0.002246394,7.2507223073
600764.SH,20110630,-0.038136505,-0.009902192,0.0013020162,-0.001995356,-0.038136505,0.0282343129,-0.009902192,0,,0.0043111943,0.2758272295,1,,0.0043111943,0.2758272295,0.0008288848,7.2387534172
600764.SH,20110930,0.0250774729,0.0201319029,0.0000715334,0.0025475503,0.0250774729,-0.00494557,0.0201319029,0,,-0.041453515,0.2658340116,1,,-0.041453515,0.2658340116,0.0045555839,7.2611795151
600764.SH,20111231,0.0986337088,-0.071638728,0.0023785494,0.0082625254,0.0986337088,-0.170272437,-0.071638728,0,,-0.055563628,0.2345144101,1,,-0.055563628,0.2345144101,0.0122225374,7.1957060153
600764.SH,20120331,-0.040818432,-0.001699043,-0.004175478,-0.004769618,-0.040818432,0.0391193886,-0.001699043,0,,0.1872779284,0.2823375359,0,,0,0,-0.001515568,7.1892162655
600764.SH,20120630,0.0093701113,0.0081755278,0.0024125622,0.0040820661,0.0093701113,-0.001194584,0.0081755278,0,,0.0132318107,0.2386108357,1,,0.0132318107,0.2386108357,0.0083202,7.2013993434
600764.SH,20120930,0.0306754668,-0.024241963,0.0016536117,0.002791905,0.0306754668,-0.05491743,-0.024241963,0,,-0.060704474,0.2762712532,1,,-0.060704474,0.2762712532,0.0106813775,7.1797158893
600764.SH,20121231,0.0050582259,-0.001434171,-0.000060798,0.0341501672,0.0050582259,-0.006492397,-0.001434171,0,,0.1801826587,0.2423662815,1,,0.1801826587,0.2423662815,0.0465084634,7.2119081107
600764.SH,20130331,0.0874292739,0.1163009723,0.0016620727,0.0034695556,0.0874292739,0.0288716984,0.1163009723,0,,-0.177262279,0.2710545563,0,,0,0,0.0035961531,7.3250319551
600764.SH,20130630,-0.077852389,-0.125393458,0.0009472123,-0.002298293,-0.077852389,-0.047541069,-0.125393458,0,,0.0151531563,0.2257028227,0,,0,0,0.0063622727,7.1884194585
600764.SH,20130930,0.0526654315,0.0356286125,0.0010925908,0.004933275,0.0526654315,-0.017036819,0.0356286125,0,,-0.045862229,0.281641989,1,,-0.045862229,0.281641989,0.0123710649,7.2281803022
600764.SH,20131231,0.0037190614,0.091561219,-0.006941575,-0.01095961,0.0037190614,0.0878421576,0.091561219,0,,0.0823056642,0.2158307694,1,,0.0823056642,0.2158307694,0.0092686199,7.305698166
600764.SH,20140331,-0.039236236,-0.059366828,0.0004791911,0.0002796289,-0.039236236,-0.020130592,-0.059366828,0,,-0.010744049,0.2099060358,0,,0,0,0.0000582364,7.2447934983
600764.SH,20140630,0.0513793405,0.1247069695,0.0021352911,0.000455742,0.0513793405,0.0733276289,0.1247069695,0,,-0.049582501,0.2724009964,0,,0,0,0.0060158085,7.3627210924
600764.SH,20140930,-0.103917438,-0.089872817,-0.003229133,-0.001763572,-0.103917438,0.0140446203,-0.089872817,0,,0.0424058582,0.2121945068,1,,0.0424058582,0.2121945068,0.0094377362,7.2666105642
600764.SH,20141231,0.0237823199,-0.000375361,0.00899336,0.0094131437,0.0533898549,-0.053765285,-0.029982966,0.029607535,,0.0102877747,0.247033994,1,,0.0102877747,0.247033994,0.0127038012,7.275607751
600764.SH,20150331,-0.033254423,-0.026868354,0.0024072618,0.0097165438,-0.033254423,0.0063861383,-0.026868284,0,,-0.005291947,0.229843872,0,,0,0,0.0100171747,7.2583071451
600764.SH,20150630,-0.016542582,0.0355513385,-0.003715954,-0.012838883,-0.016542582,0.0520939206,0.0355513385,0,,0.0108218405,0.2380830269,0,,0,0,0.0046899291,7.2807655126
600764.SH,20150930,-0.035089201,-0.073390923,0.0030273414,0.0022054278,-0.035089201,-0.038301722,-0.073390923,0,,0.0435981922,0.2350626596,0,,0,0,0.0053492213,7.2069192811
600764.SH,20151231,0.0160259557,0.000597673,-0.000586403,-0.093045996,0.0126521912,-0.012054518,0.0039714374,-0.003373764,,-0.102794271,0.1742233513,1,,-0.102794271,0.1742233513,-0.090056963,7.1099144298
600764.SH,20160331,-0.180397859,-0.310408345,0.0267762696,0.0139527801,-0.180397859,-0.130010487,-0.310408345,0,,0.1917264658,0.1391853291,0,,0,0,-0.009986416,6.7582903041
600764.SH,20160630,0.0487709375,0.0299252667,-0.001950141,0.0042968357,0.0487709375,-0.018845555,0.0299253828,0,,-0.019514297,0.1833868536,0,,0,0,-0.005036877,6.7919398563
600764.SH,20160930,0,-0.000041768,0.0031725515,0.0125722009,0,-0.000041768,-0.000041768,0,,0.0187038618,0.165993742,0,,0,0,0.0077021053,6.8043925442
600764.SH,20161231,0,0.3574305517,0.0045074306,0.0147227799,-0.002930251,0.360360692,0.360360692,-0.002930251,,0.37192745,0.1721347687,1,,0.37192745,0.1721347687,0.0215197431,7.1207737442
600764.SH,20170331,0,-0.002722628,0.0034581979,0.014818643,0,-0.002722628,-0.002722628,0,,-0.420614389,0.1188434691,0,,0,0,0.014818643,7.1327971873
600764.SH,20170630,0,0.0110945186,0.0023085733,0.0143813931,0,0.0110945186,0.0110945186,0,,-0.029292979,0.1194260314,0,,0,0,0.0290229318,7.1579539962
600764.SH,20170930,0,0.1353165344,0.0025193093,0.0074441676,0,0.1353166123,0.1353166123,0,,0.119462756,0.1343053068,1,,0.119462756,0.1343053068,0.0359912779,7.2914009995
600764.SH,20171231,-0.01612128,-0.212294023,0.2756471781,0.3129725065,-0.019498163,-0.192795927,-0.208917207,-0.003376884,,-0.324778857,0.3066367617,1,,-0.324778857,0.3066367617,0.0612686998,7.3873277926
600764.SH,20180331,0.0061904797,-0.030051312,-0.000614096,0.001202315,0.0061904797,-0.036241792,-0.030051312,0,,0.1978024168,0.2691839716,0,,0,0,0.001202315,7.3580544824
600764.SH,20180630,0.06374374,0.0576373447,-0.067910413,-0.075364989,0.0641516999,-0.006514355,-0.006514355,0.0641516999,,-0.012410332,0.275046015,1,,-0.012410332,0.275046015,0.0100569773,7.3401678215
600764.SH,20180930,-0.045425912,-0.068212199,-7.37761E-17,0.0060859042,-0.045497296,-0.022714903,-0.068140815,-0.000071384,,-0.042170172,0.2874882696,1,,-0.042170172,0.2874882696,0.0163243208,7.2760278398
600764.SH,20181231,-0.033309441,0.0062684576,-0.016266618,0.0130281153,-0.033676163,0.0399446208,0.0571459649,-0.050877507,,-0.020694476,0.3164607245,1,,-0.020694476,0.3164607245,0.0467004729,7.2951406627
600764.SH,20190331,0,-0.016990897,6.7882944E-8,0.0075371111,0.0001493425,-0.01714024,-0.01714024,0.0001493425,,0.1155162012,0.3072688852,0,,0,0,0.0075370432,7.2856418375
600764.SH,20190630,0,-0.026948513,0,0.0023495108,-0.000616777,-0.026331736,-0.026331736,-0.000616777,,-0.024606815,0.310246578,1,,-0.024606815,0.310246578,0.0099584881,7.2607352248
600764.SH,20190930,0,0.0122771503,-7.025913E-8,0.0058077601,0.0004566843,0.011820466,0.011820466,0.0004566843,,-0.025843275,0.333661584,1,,-0.025843275,0.333661584,0.0160174653,7.2786585485
